customer_sk,full_name,city,source_system,company,company_code,recency_days,frequency,monetary_syp,r_score,f_score,m_score,rfm_code,segment
88,حسن العظمة,Raqqa,SYRIATEL,Syriatel,SYRIATEL,3,5,203000.00,5,1,1,511,New
89,خالد الخطيب,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,11,6,373000.00,4,2,2,422,Other
90,عمر العلي,Raqqa,SYRIATEL,Syriatel,SYRIATEL,43,5,190000.00,3,1,1,311,Other
91,ليلى البيطار,Hama,SYRIATEL,Syriatel,SYRIATEL,30,7,264000.00,3,3,1,331,Loyal
92,علي السيد,Aleppo,SYRIATEL,Syriatel,SYRIATEL,17,11,781000.00,4,5,5,455,Champions
93,عمر البيطار,Daraa,SYRIATEL,Syriatel,SYRIATEL,35,12,518000.00,3,5,3,353,Loyal
94,نزار العمر,Latakia,SYRIATEL,Syriatel,SYRIATEL,68,4,333000.00,2,1,2,212,Other
95,هدى البرازي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,96,5,310000.00,1,1,2,112,Lost
96,عمر العظمة,Latakia,SYRIATEL,Syriatel,SYRIATEL,20,14,1281000.00,4,5,5,455,Champions
97,هدى القباني,Quneitra,SYRIATEL,Syriatel,SYRIATEL,25,12,1093000.00,3,5,5,355,Loyal
98,عائشة الأحمد,Latakia,SYRIATEL,Syriatel,SYRIATEL,41,8,456000.00,3,3,3,333,Loyal
99,فاطمة المصري,Idlib,SYRIATEL,Syriatel,SYRIATEL,188,4,418000.00,1,1,3,113,Lost
100,نور القباني,Tartus,SYRIATEL,Syriatel,SYRIATEL,37,6,330000.00,3,2,2,322,Other
101,حسين الحمصي,Damascus,SYRIATEL,Syriatel,SYRIATEL,5,6,340000.00,5,2,2,522,Other
102,خالد السيد,Tartus,SYRIATEL,Syriatel,SYRIATEL,80,6,888000.00,1,2,5,125,Lost
103,سليمان الشامي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,100,8,309000.00,1,3,2,132,At Risk
104,وليد الكردي,Quneitra,SYRIATEL,Syriatel,SYRIATEL,60,9,336000.00,2,4,2,242,At Risk
105,رنا البيطار,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,45,10,523000.00,3,5,3,353,Loyal
106,خالد القباني,Homs,SYRIATEL,Syriatel,SYRIATEL,3,11,1176000.00,5,5,5,555,Champions
107,بشار البيطار,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,39,7,408000.00,3,3,2,332,Loyal
108,ليلى الطرابلسي,Hama,SYRIATEL,Syriatel,SYRIATEL,22,7,472000.00,4,3,3,433,Loyal
109,ماهر الحسن,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,7,11,980000.00,5,5,5,555,Champions
110,علي الرفاعي,Daraa,SYRIATEL,Syriatel,SYRIATEL,109,10,373000.00,1,5,2,152,At Risk
111,فاطمة الجابري,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,150,11,916000.00,1,5,5,155,At Risk
112,يوسف الشامي,Quneitra,SYRIATEL,Syriatel,SYRIATEL,97,8,578000.00,1,3,4,134,At Risk
113,مريم البيطار,Raqqa,SYRIATEL,Syriatel,SYRIATEL,3,10,561000.00,5,5,4,554,Champions
114,نور الحلبي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,15,13,895000.00,4,5,5,455,Champions
115,أيمن القباني,Latakia,SYRIATEL,Syriatel,SYRIATEL,5,8,238000.00,5,3,1,531,Loyal
116,ماهر الدمشقي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,45,8,238000.00,3,3,1,331,Loyal
117,عائشة الجابري,Homs,SYRIATEL,Syriatel,SYRIATEL,57,9,196000.00,2,4,1,241,At Risk
118,إبراهيم الحسن,Quneitra,SYRIATEL,Syriatel,SYRIATEL,2,10,493000.00,5,5,3,553,Loyal
119,يوسف السوري,Raqqa,SYRIATEL,Syriatel,SYRIATEL,53,8,282000.00,2,3,2,232,At Risk
120,أحمد الشامي,Homs,SYRIATEL,Syriatel,SYRIATEL,14,8,468000.00,4,3,3,433,Loyal
121,ريم الأحمد,Idlib,SYRIATEL,Syriatel,SYRIATEL,2,68,4474000.00,5,5,5,555,Champions
122,محمد الدمشقي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,118,5,370000.00,1,1,2,112,Lost
123,سارة الأحمد,Hama,SYRIATEL,Syriatel,SYRIATEL,70,6,388000.00,2,2,2,222,Other
124,هدى الأحمد,Raqqa,SYRIATEL,Syriatel,SYRIATEL,247,2,240000.00,1,1,1,111,Lost
125,عمر العظمة,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,10,59,3709000.00,5,5,5,555,Champions
126,خالد السيد,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,70,3,275000.00,2,1,1,211,Other
127,ماهر الطرابلسي,Tartus,SYRIATEL,Syriatel,SYRIATEL,104,8,281000.00,1,3,2,132,At Risk
128,سارة القباني,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,32,8,288000.00,3,3,2,332,Loyal
129,عائشة الطرابلسي,Idlib,SYRIATEL,Syriatel,SYRIATEL,61,7,298000.00,2,3,2,232,At Risk
130,ماهر الجابري,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,38,9,423000.00,3,4,3,343,Loyal
131,محمد القباني,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,10,9,394000.00,5,4,2,542,Loyal
132,أحمد المصري,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,21,5,223000.00,4,1,1,411,New
133,هدى البرازي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,23,11,573000.00,4,5,4,454,Champions
134,حسين اللاذقاني,Aleppo,SYRIATEL,Syriatel,SYRIATEL,32,8,493000.00,3,3,3,333,Loyal
135,هدى البيطار,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,19,8,503000.00,4,3,3,433,Loyal
136,عائشة الرفاعي,Homs,SYRIATEL,Syriatel,SYRIATEL,10,7,780000.00,5,3,5,535,Loyal
137,زينب السيد,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,42,6,735000.00,3,2,4,324,Other
138,بشار الحلبي,Hama,SYRIATEL,Syriatel,SYRIATEL,17,5,313000.00,4,1,2,412,New
139,مريم الزعبي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,17,17,1296000.00,4,5,5,455,Champions
140,عائشة الحمصي,Quneitra,SYRIATEL,Syriatel,SYRIATEL,111,7,341000.00,1,3,2,132,At Risk
141,سليمان القباني,Tartus,SYRIATEL,Syriatel,SYRIATEL,87,5,71000.00,1,1,1,111,Lost
142,أحمد العلي,Idlib,SYRIATEL,Syriatel,SYRIATEL,125,7,1190000.00,1,3,5,135,At Risk
143,مصطفى البرازي,Idlib,SYRIATEL,Syriatel,SYRIATEL,68,6,563000.00,2,2,4,224,Other
144,هدى الزعبي,Latakia,SYRIATEL,Syriatel,SYRIATEL,206,3,83000.00,1,1,1,111,Lost
145,فاطمة البرازي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,9,6,493000.00,5,2,3,523,Other
146,ريم الرفاعي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,37,10,694000.00,3,5,4,354,Loyal
147,زينب الزعبي,Daraa,SYRIATEL,Syriatel,SYRIATEL,10,12,980000.00,5,5,5,555,Champions
148,نور العمر,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,34,3,143000.00,3,1,1,311,Other
149,نزار الدمشقي,Quneitra,SYRIATEL,Syriatel,SYRIATEL,15,4,140000.00,4,1,1,411,New
150,سليمان الحسن,Idlib,SYRIATEL,Syriatel,SYRIATEL,26,9,486000.00,3,4,3,343,Loyal
151,عائشة الجابري,Raqqa,SYRIATEL,Syriatel,SYRIATEL,12,10,980000.00,4,5,5,455,Champions
152,وليد الحلبي,Hama,SYRIATEL,Syriatel,SYRIATEL,114,5,370000.00,1,1,2,112,Lost
153,طارق الكردي,Tartus,SYRIATEL,Syriatel,SYRIATEL,60,7,528000.00,2,3,3,233,At Risk
154,هدى العمر,Quneitra,SYRIATEL,Syriatel,SYRIATEL,52,9,1345000.00,2,4,5,245,At Risk
155,عمر السوري,Damascus,SYRIATEL,Syriatel,SYRIATEL,67,5,630000.00,2,1,4,214,Other
156,نور البيطار,Idlib,SYRIATEL,Syriatel,SYRIATEL,30,7,663000.00,3,3,4,334,Loyal
157,باسل المصري,Damascus,SYRIATEL,Syriatel,SYRIATEL,11,5,390000.00,4,1,2,412,New
158,مصطفى العظمة,Damascus,SYRIATEL,Syriatel,SYRIATEL,8,9,298000.00,5,4,2,542,Loyal
159,عمر الشامي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,227,9,837000.00,1,4,5,145,At Risk
160,أيمن الحمصي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,104,2,63000.00,1,1,1,111,Lost
161,ليلى العمر,Homs,SYRIATEL,Syriatel,SYRIATEL,270,4,243000.00,1,1,1,111,Lost
162,نزار الرفاعي,Tartus,SYRIATEL,Syriatel,SYRIATEL,107,7,806000.00,1,3,5,135,At Risk
163,ماهر القباني,Idlib,SYRIATEL,Syriatel,SYRIATEL,131,4,148000.00,1,1,1,111,Lost
164,علي الرفاعي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,135,7,518000.00,1,3,3,133,At Risk
165,سليمان الرفاعي,Latakia,SYRIATEL,Syriatel,SYRIATEL,118,13,802000.00,1,5,5,155,At Risk
166,محمد البرازي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,48,6,380000.00,2,2,2,222,Other
167,باسل العلي,Damascus,SYRIATEL,Syriatel,SYRIATEL,25,3,95000.00,3,1,1,311,Other
168,ليلى الحمصي,Tartus,SYRIATEL,Syriatel,SYRIATEL,97,6,355000.00,1,2,2,122,Lost
169,عمر الحسن,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,125,6,372000.00,1,2,2,122,Lost
170,سليمان الحسن,Daraa,SYRIATEL,Syriatel,SYRIATEL,72,8,274000.00,2,3,1,231,At Risk
171,زينب الشامي,Daraa,SYRIATEL,Syriatel,SYRIATEL,219,3,476000.00,1,1,3,113,Lost
172,أيمن المصري,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,6,7,618000.00,5,3,4,534,Loyal
173,مصطفى الحمصي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,130,5,608000.00,1,1,4,114,Lost
174,هدى الرفاعي,Tartus,SYRIATEL,Syriatel,SYRIATEL,52,4,363000.00,2,1,2,212,Other
175,مريم الجابري,Hama,SYRIATEL,Syriatel,SYRIATEL,13,7,476000.00,4,3,3,433,Loyal
176,حسن الحلبي,Damascus,SYRIATEL,Syriatel,SYRIATEL,5,8,595000.00,5,3,4,534,Loyal
177,هدى البيطار,Idlib,SYRIATEL,Syriatel,SYRIATEL,21,6,291000.00,4,2,2,422,Other
178,فاطمة السوري,Latakia,SYRIATEL,Syriatel,SYRIATEL,3,8,583000.00,5,3,4,534,Loyal
179,طارق الدمشقي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,7,6,443000.00,5,2,3,523,Other
180,يوسف البرازي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,26,9,384000.00,3,4,2,342,Loyal
181,حسين العلي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,62,7,246000.00,2,3,1,231,At Risk
182,هدى البرازي,Damascus,SYRIATEL,Syriatel,SYRIATEL,8,7,200000.00,5,3,1,531,Loyal
183,عمر الخطيب,Aleppo,SYRIATEL,Syriatel,SYRIATEL,10,3,285000.00,5,1,2,512,New
184,وليد الدمشقي,Homs,SYRIATEL,Syriatel,SYRIATEL,57,8,663000.00,2,3,4,234,At Risk
185,بشار الشامي,Tartus,SYRIATEL,Syriatel,SYRIATEL,182,4,248000.00,1,1,1,111,Lost
186,باسل العمر,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,65,9,463000.00,2,4,3,243,At Risk
187,مصطفى المصري,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,42,5,495000.00,3,1,3,313,Other
188,عائشة الحسن,Daraa,SYRIATEL,Syriatel,SYRIATEL,55,8,720000.00,2,3,4,234,At Risk
189,نور الدمشقي,Idlib,SYRIATEL,Syriatel,SYRIATEL,16,4,305000.00,4,1,2,412,New
190,يوسف الحمصي,Hama,SYRIATEL,Syriatel,SYRIATEL,60,7,445000.00,2,3,3,233,At Risk
191,علي المصري,Aleppo,SYRIATEL,Syriatel,SYRIATEL,20,6,805000.00,4,2,5,425,Other
192,مصطفى السوري,Damascus,SYRIATEL,Syriatel,SYRIATEL,213,5,583000.00,1,1,4,114,Lost
193,يوسف العلي,Idlib,SYRIATEL,Syriatel,SYRIATEL,20,2,220000.00,4,1,1,411,New
194,عمر السيد,Idlib,SYRIATEL,Syriatel,SYRIATEL,79,6,225000.00,1,2,1,121,Lost
195,يوسف الزعبي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,47,9,713000.00,2,4,4,244,At Risk
196,سارة الحمصي,Daraa,SYRIATEL,Syriatel,SYRIATEL,57,9,696000.00,2,4,4,244,At Risk
197,سامي الشامي,Tartus,SYRIATEL,Syriatel,SYRIATEL,69,9,468000.00,2,4,3,243,At Risk
198,ليلى الجابري,Tartus,SYRIATEL,Syriatel,SYRIATEL,71,6,630000.00,2,2,4,224,Other
199,عائشة الزعبي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,37,4,180000.00,3,1,1,311,Other
200,أحمد الشامي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,108,14,719000.00,1,5,4,154,At Risk
201,مريم البيطار,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,52,4,500000.00,2,1,3,213,Other
202,سامي الكيلاني,Hama,SYRIATEL,Syriatel,SYRIATEL,19,6,518000.00,4,2,3,423,Other
203,بشار الشامي,Raqqa,SYRIATEL,Syriatel,SYRIATEL,52,2,53000.00,2,1,1,211,Other
204,زينب العلي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,63,8,523000.00,2,3,3,233,At Risk
205,خالد اللاذقاني,Tartus,SYRIATEL,Syriatel,SYRIATEL,39,6,283000.00,3,2,2,322,Other
206,نور السيد,Damascus,SYRIATEL,Syriatel,SYRIATEL,2,10,1148000.00,5,5,5,555,Champions
207,كريم الدمشقي,Damascus,SYRIATEL,Syriatel,SYRIATEL,96,6,615000.00,1,2,4,124,Lost
208,إبراهيم البرازي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,64,4,148000.00,2,1,1,211,Other
209,حسين الزعبي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,42,8,685000.00,3,3,4,334,Loyal
210,زينب الكيلاني,Daraa,SYRIATEL,Syriatel,SYRIATEL,11,9,870000.00,4,4,5,445,Champions
211,ريم البرازي,Hama,SYRIATEL,Syriatel,SYRIATEL,115,9,890000.00,1,4,5,145,At Risk
212,زينب البيطار,Aleppo,SYRIATEL,Syriatel,SYRIATEL,11,11,901000.00,4,5,5,455,Champions
213,ليلى اللاذقاني,Latakia,SYRIATEL,Syriatel,SYRIATEL,74,7,466000.00,2,3,3,233,At Risk
214,طارق الحلبي,Tartus,SYRIATEL,Syriatel,SYRIATEL,21,7,440000.00,4,3,3,433,Loyal
215,بشار الطرابلسي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,51,10,885000.00,2,5,5,255,At Risk
216,باسل العمر,Quneitra,SYRIATEL,Syriatel,SYRIATEL,98,5,190000.00,1,1,1,111,Lost
217,بشار العلي,Tartus,SYRIATEL,Syriatel,SYRIATEL,12,9,389000.00,4,4,2,442,Loyal
218,سارة الكيلاني,Quneitra,SYRIATEL,Syriatel,SYRIATEL,84,11,971000.00,1,5,5,155,At Risk
219,سليمان السيد,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,78,9,569000.00,1,4,4,144,At Risk
220,ريم الجابري,Tartus,SYRIATEL,Syriatel,SYRIATEL,106,8,328000.00,1,3,2,132,At Risk
221,إبراهيم البيطار,Homs,SYRIATEL,Syriatel,SYRIATEL,40,6,300000.00,3,2,2,322,Other
222,ريم الرفاعي,Raqqa,SYRIATEL,Syriatel,SYRIATEL,57,12,769000.00,2,5,5,255,At Risk
223,رنا الأحمد,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,44,14,1021000.00,3,5,5,355,Loyal
224,مريم العلي,Daraa,SYRIATEL,Syriatel,SYRIATEL,12,5,300000.00,4,1,2,412,New
225,بشار البيطار,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,16,9,641000.00,4,4,4,444,Champions
226,محمد الزعبي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,70,4,255000.00,2,1,1,211,Other
227,إبراهيم المصري,Daraa,SYRIATEL,Syriatel,SYRIATEL,36,5,185000.00,3,1,1,311,Other
228,نور الطرابلسي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,33,4,198000.00,3,1,1,311,Other
229,رنا الأحمد,Daraa,SYRIATEL,Syriatel,SYRIATEL,90,3,145000.00,1,1,1,111,Lost
230,ماهر البيطار,Daraa,SYRIATEL,Syriatel,SYRIATEL,23,9,595000.00,4,4,4,444,Champions
